pano|pmes|conglome|submuestra|vivienda|hogar|codperso|dominio|estrato|codpanel|p103|p104|p105|p106|p107|p108|p109a|p109b|p109c|p200n|p200i|p200a|p200b|p200bb|p200c|p200d|p200dd|p200e|p200f|p200g|p201|p202|p203|p204|p2041|p2042|p2043|p2044|p2045|p2046|p2047|p2048|p2049|p20410|p20411|p204a|p205a|p206|P206AA|p207a|p207b|p208b1|p208b2|p208b3|p209a|p209b|p209c|p209d|p209e|p209f|p209g|p209t|p209bb|p209cc|p209h|p209ee|p210|p211a|p211b|p212a|p212b|p212c|p212d|p212e|p213|p214|p215|p216|p217|p218|p219|p220|p222|P223A1|P223A2|P223A3|P223A4|P223A5|P223A6|P223A7|P224|P225|ocu200|i211a|i211b|i212a|i212b|i212c|i212d|ingtot|ingprin|resident|fa_def21
2020|12|017685|004|0066|11|02|8|1|19121103|3|1|2||1|23|8|3||2|1|13|12|2020|19|12|2020|9|5|1997|1|||||||||||||||313|4220|3|4|2||1|1|2020|0|8|8|8|8|8|8|48|1||1|2|4|1500|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1500|0|||||1500|1500|1|380.928998444194
2020|12|024385|005|0120|11|01|8|1|20121101|1|1|2||1|43|5|1||1|1|13|12|2020|19|12|2020|24|2|1977|1|||||||||||||||785|4210|4|4|2||1|11|2020|0|8|8|8|8|8|5|45|1||1|2|4|1500|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1500|0|||||1500|1500|1|923.697940605308
2020|12|029157|005|0097|11|01|8|1|20121101|1|1|2||1|30|6|5||1|1|22|11|2020|28|11|2020|25|9|1990|1|||||||||||||||785|4100|4|4|2||2|7|2020|0|8|8|8|8|8|6|46|1||2|2|4|1500|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1500|0|||||1500|1500|1|919.309082241665
2020|12|047580|004|0128|11|01|8|1|20121101|1|1|2||1|29|5|3||1|1|29|11|2020|5|12|2020|99|99|1991|1|||||||||||||||785|4220|4|4|2||1|7|2020|0|8|8|8|8|8|8|48|1||2|2|4|930|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|930|0|||||930|930|1|897.678280306567
2020|12|090931|001|0005|11|01|8|1|20121101|1|1|2||1|55|6|5||1|1|6|12|2020|12|12|2020|22|8|1965|1|||||||||||||||885|4220|3|4|2|||6|2006|0|10|10|10|10|10|10|60|2|57|1|2|4|1500|0|||0|0|0|||||||||1|0|0|0|0|0|0|1|6|4|1|1500|0|||||1500|1500|1|696.259177001072
2021|01|026780|002|0034|11|03|8|1|20011203|3|1|2||1|16|5|4||3|2|10|1|2021|16|1|2021|31|3|2004|1|||||||||||||||864|4330|4|4|1|3|15|10|2020|0|5|5|5|5|5|5|30|1||1|2|1|20|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|500|0|||||500|500|1|910.190723706091
2021|01|029139|002|0061|11|05|8|1|21011105|4|1|2||1|25|7|2||5|4|17|1|2021|23|1|2021|9|9|1995|1|||||||||||||||783|4321|4|4|2|||7|2020|0|8|8|8|8|8|8|48|1||2|2|4|1000|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1000|0|||||1000|1000|1|937.920990440619
2021|02|020692|003|0089|11|01|8|1|21021101|1|1|2||1|50|6|5||1|1|24|1|2021|30|1|2021|27|1|1971|2|1||||||||||||||953|4220|4|4|2||||2016|0|3|0|0|4|0|3|10|2|58|1|2|4||0|||800|0|0|||||||||1|0|0|0|0|0|0|1|1|4|1|0|0|0|0|800|0|800|0|1|567.93080390597
2021|02|020692|003|0089|11|01|8|1|21021101|1|1|2||1|51|5|5||1|1|24|1|2021|30|1|2021|27|1|1971|2|1||||||||||||||953|4220|4|4|2||||2016|0|3|0|0|4|0|3|10|2|58|1|2|4|400|0|||800|0|0|||||||||1|0|0|0|0|0|0|1|1|4|3|0|0|0|0|800|0|800|0|1|567.93080390597
2021|02|020692|003|0089|11|01|8|1|21021101|1|1|2||1|65|5|5||1|1|24|1|2021|30|1|2021|27|1|1971|2|1||||||||||||||953|4220|4|4|2||||2016|0|3|0|0|4|0|3|10|2|58|1|2|4|200|0|||800|0|0|||||||||1|0|0|0|0|0|0|1|1|4|3|0|0|0|0|800|0|800|0|1|441.11097268715
